table,module,informant,disorder,status,variable,session_id,ksads_version,n_present,n_absent,n_branchskip_888,n_notadmin_555,n_nan,n_total,pct_administered
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,past,mh_y_ksads__ed__bulim__oth__mindur__past_dx,ses-06A,2.0,25,9270,0,0,4,9299,100.0
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,past,mh_y_ksads__ed__bulim__oth__mindur__past_dx,ses-07A,2.0,0,0,0,8344,13,8357,0.0
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,present,mh_y_ksads__ed__bulim__oth__mindur__pres_dx,ses-00A,1.0,0,0,0,11775,1,11776,0.0
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,present,mh_y_ksads__ed__bulim__oth__mindur__pres_dx,ses-01A,1.0,0,0,0,11097,0,11097,0.0
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,present,mh_y_ksads__ed__bulim__oth__mindur__pres_dx,ses-02A,1.0,8,10846,0,0,1,10855,100.0
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,present,mh_y_ksads__ed__bulim__oth__mindur__pres_dx,ses-03A,2.0,0,0,0,10301,0,10301,0.0
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,present,mh_y_ksads__ed__bulim__oth__mindur__pres_dx,ses-04A,2.0,19,9014,0,0,7,9040,99.9
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,present,mh_y_ksads__ed__bulim__oth__mindur__pres_dx,ses-05A,2.0,0,0,0,8535,0,8535,0.0
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,present,mh_y_ksads__ed__bulim__oth__mindur__pres_dx,ses-06A,2.0,50,9245,0,0,4,9299,100.0
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,present,mh_y_ksads__ed__bulim__oth__mindur__pres_dx,ses-07A,2.0,0,0,0,8344,13,8357,0.0
mh_y_ksads__ed,ed,youth,bulim,partial_remission,mh_y_ksads__ed__bulim__partrem_dx,ses-00A,1.0,0,0,0,11775,1,11776,0.0
mh_y_ksads__ed,ed,youth,bulim,partial_remission,mh_y_ksads__ed__bulim__partrem_dx,ses-01A,1.0,0,0,0,11097,0,11097,0.0
mh_y_ksads__ed,ed,youth,bulim,partial_remission,mh_y_ksads__ed__bulim__partrem_dx,ses-02A,1.0,0,10854,0,0,1,10855,100.0
mh_y_ksads__ed,ed,youth,bulim,partial_remission,mh_y_ksads__ed__bulim__partrem_dx,ses-03A,2.0,0,0,0,10301,0,10301,0.0
mh_y_ksads__ed,ed,youth,bulim,partial_remission,mh_y_ksads__ed__bulim__partrem_dx,ses-04A,2.0,0,9033,0,0,7,9040,99.9
mh_y_ksads__ed,ed,youth,bulim,partial_remission,mh_y_ksads__ed__bulim__partrem_dx,ses-05A,2.0,0,0,0,8535,0,8535,0.0
mh_y_ksads__ed,ed,youth,bulim,partial_remission,mh_y_ksads__ed__bulim__partrem_dx,ses-06A,2.0,1,9293,0,0,5,9299,99.9
mh_y_ksads__ed,ed,youth,bulim,partial_remission,mh_y_ksads__ed__bulim__partrem_dx,ses-07A,2.0,0,0,0,8344,13,8357,0.0
mh_y_ksads__ed,ed,youth,bulim,past,mh_y_ksads__ed__bulim__past_dx,ses-00A,1.0,0,0,0,11775,1,11776,0.0
mh_y_ksads__ed,ed,youth,bulim,past,mh_y_ksads__ed__bulim__past_dx,ses-01A,1.0,0,0,0,11097,0,11097,0.0
mh_y_ksads__ed,ed,youth,bulim,past,mh_y_ksads__ed__bulim__past_dx,ses-02A,1.0,2,10852,0,0,1,10855,100.0
mh_y_ksads__ed,ed,youth,bulim,past,mh_y_ksads__ed__bulim__past_dx,ses-03A,2.0,0,0,0,10301,0,10301,0.0
mh_y_ksads__ed,ed,youth,bulim,past,mh_y_ksads__ed__bulim__past_dx,ses-04A,2.0,1,9032,0,0,7,9040,99.9
mh_y_ksads__ed,ed,youth,bulim,past,mh_y_ksads__ed__bulim__past_dx,ses-05A,2.0,0,0,0,8535,0,8535,0.0
mh_y_ksads__ed,ed,youth,bulim,past,mh_y_ksads__ed__bulim__past_dx,ses-06A,2.0,16,9278,0,0,5,9299,99.9
mh_y_ksads__ed,ed,youth,bulim,past,mh_y_ksads__ed__bulim__past_dx,ses-07A,2.0,0,0,0,8344,13,8357,0.0
mh_y_ksads__ed,ed,youth,bulim,present,mh_y_ksads__ed__bulim__pres_dx,ses-00A,1.0,0,0,0,11775,1,11776,0.0
mh_y_ksads__ed,ed,youth,bulim,present,mh_y_ksads__ed__bulim__pres_dx,ses-01A,1.0,0,0,0,11097,0,11097,0.0
mh_y_ksads__ed,ed,youth,bulim,present,mh_y_ksads__ed__bulim__pres_dx,ses-02A,1.0,1,10853,0,0,1,10855,100.0
mh_y_ksads__ed,ed,youth,bulim,present,mh_y_ksads__ed__bulim__pres_dx,ses-03A,2.0,0,0,0,10301,0,10301,0.0
