disorder,module,informant,status,merged_var,proposed_case_definition
"Conduct disorder, adolescent onset",cond,parent,present,mh_p_ksads__cond__onset__adoles__pres_dx,mh_p_ksads__cond__onset__adoles__pres_dx == 1
"Conduct disorder, adolescent onset",cond,parent,lifetime_union,mh_p_ksads__cond__onset__adoles__past_dx | mh_p_ksads__cond__onset__adoles__pres_dx,any(present/past/partial_remission _dx == 1)
"Conduct disorder, childhood onset",cond,parent,past,mh_p_ksads__cond__onset__chld__past_dx,mh_p_ksads__cond__onset__chld__past_dx == 1
"Conduct disorder, childhood onset",cond,parent,present,mh_p_ksads__cond__onset__chld__pres_dx,mh_p_ksads__cond__onset__chld__pres_dx == 1
"Conduct disorder, childhood onset",cond,parent,lifetime_union,mh_p_ksads__cond__onset__chld__past_dx | mh_p_ksads__cond__onset__chld__pres_dx,any(present/past/partial_remission _dx == 1)
Major depressive disorder,dep,parent,partial_remission,mh_p_ksads__dep__mdd__partrem_dx,mh_p_ksads__dep__mdd__partrem_dx == 1
Major depressive disorder,dep,parent,past,mh_p_ksads__dep__mdd__past_dx,mh_p_ksads__dep__mdd__past_dx == 1
Major depressive disorder,dep,parent,present,mh_p_ksads__dep__mdd__pres_dx,mh_p_ksads__dep__mdd__pres_dx == 1
Major depressive disorder,dep,parent,lifetime_union,mh_p_ksads__dep__mdd__partrem_dx | mh_p_ksads__dep__mdd__past_dx | mh_p_ksads__dep__mdd__pres_dx,any(present/past/partial_remission _dx == 1)
"Other specified depressive disorder, persistent depressive disorder",dep,parent,present,mh_p_ksads__dep__pdd__oth__pres_dx,mh_p_ksads__dep__pdd__oth__pres_dx == 1
Persistent depressive disorder,dep,parent,partial_remission,mh_p_ksads__dep__pdd__partrem_dx,mh_p_ksads__dep__pdd__partrem_dx == 1
Persistent depressive disorder,dep,parent,past,mh_p_ksads__dep__pdd__past_dx,mh_p_ksads__dep__pdd__past_dx == 1
Persistent depressive disorder,dep,parent,present,mh_p_ksads__dep__pdd__pres_dx,mh_p_ksads__dep__pdd__pres_dx == 1
Persistent depressive disorder,dep,parent,lifetime_union,mh_p_ksads__dep__pdd__partrem_dx | mh_p_ksads__dep__pdd__past_dx | mh_p_ksads__dep__pdd__pres_dx,any(present/past/partial_remission _dx == 1)
Unspecified depressive disorder,dep,parent,past,mh_p_ksads__dep__unspec__past_dx,mh_p_ksads__dep__unspec__past_dx == 1
Unspecified depressive disorder,dep,parent,present,mh_p_ksads__dep__unspec__pres_dx,mh_p_ksads__dep__unspec__pres_dx == 1
Unspecified depressive disorder,dep,parent,lifetime_union,mh_p_ksads__dep__unspec__past_dx | mh_p_ksads__dep__unspec__pres_dx,any(present/past/partial_remission _dx == 1)
Disruptive mood dysregulation disorder,dmdd,parent,present,mh_p_ksads__dmdd__dmdd__pres_dx,mh_p_ksads__dmdd__dmdd__pres_dx == 1
"Anorexia nervosa, binge eating/purging subtype",ed,parent,partial_remission,mh_p_ksads__ed__an__bingeprg__partrem_dx,mh_p_ksads__ed__an__bingeprg__partrem_dx == 1
"Anorexia nervosa, binge eating/purging subtype",ed,parent,past,mh_p_ksads__ed__an__bingeprg__past_dx,mh_p_ksads__ed__an__bingeprg__past_dx == 1
"Anorexia nervosa, binge eating/purging subtype",ed,parent,present,mh_p_ksads__ed__an__bingeprg__pres_dx,mh_p_ksads__ed__an__bingeprg__pres_dx == 1
"Anorexia nervosa, binge eating/purging subtype",ed,parent,lifetime_union,mh_p_ksads__ed__an__bingeprg__partrem_dx | mh_p_ksads__ed__an__bingeprg__past_dx | mh_p_ksads__ed__an__bingeprg__pres_dx,any(present/past/partial_remission _dx == 1)
"Other specified feeding or eating disorder, atypical anorexia nervosa",ed,parent,past,mh_p_ksads__ed__an__oth__past_dx,mh_p_ksads__ed__an__oth__past_dx == 1
"Other specified feeding or eating disorder, atypical anorexia nervosa",ed,parent,present,mh_p_ksads__ed__an__oth__pres_dx,mh_p_ksads__ed__an__oth__pres_dx == 1
"Other specified feeding or eating disorder, atypical anorexia nervosa",ed,parent,lifetime_union,mh_p_ksads__ed__an__oth__past_dx | mh_p_ksads__ed__an__oth__pres_dx,any(present/past/partial_remission _dx == 1)
"Anorexia nervosa, restricting subtype",ed,parent,partial_remission,mh_p_ksads__ed__an__restrict__partrem_dx,mh_p_ksads__ed__an__restrict__partrem_dx == 1
"Anorexia nervosa, restricting subtype",ed,parent,past,mh_p_ksads__ed__an__restrict__past_dx,mh_p_ksads__ed__an__restrict__past_dx == 1
"Anorexia nervosa, restricting subtype",ed,parent,present,mh_p_ksads__ed__an__restrict__pres_dx,mh_p_ksads__ed__an__restrict__pres_dx == 1
"Anorexia nervosa, restricting subtype",ed,parent,lifetime_union,mh_p_ksads__ed__an__restrict__partrem_dx | mh_p_ksads__ed__an__restrict__past_dx | mh_p_ksads__ed__an__restrict__pres_dx,any(present/past/partial_remission _dx == 1)
"Other specified feeding or eating disorder, binge eating disorder",ed,parent,past,mh_p_ksads__ed__binge__oth__mindur__past_dx,mh_p_ksads__ed__binge__oth__mindur__past_dx == 1
